RBr,Broj lokacija,d_Ortools,T_Ortools,S_ortools_distance,Sim_total,d_SOM,T_som
1,10,1137,0.04,1137,0.01,1141,6.4
2,20,1966,0.01,1966,0.01,1996,7.61
3,30,2463,0.02,2463,0.02,2368,8.33
4,40,2639,0.05,2639,0.02,2699,9.03
5,50,2976,0.07,2976,0.04,2973,9.78
6,60,3118,0.05,3118,0.07,3184,10.21
7,70,3282,0.07,3282,0.09,3284,10.64
8,80,3371,0.08,3371,0.11,3363,10.92
9,90,3493,0.14,3493,0.16,3525,11.22
10,100,3637,0.15,3637,0.17,3667,11.56
11,200,5053,0.66,5053,0.68,5172,14.11
12,300,6432,1.79,6432,1.76,6386,16.3
13,400,7326,3.3,7326,3.25,7720,18.31
14,500,8330,5.1,8330,5.14,8867,20.32
15,600,9110,7.4,9110,7.37,9736,22.32
16,700,9704,12.2,9704,12.24,10409,24.15
17,800,10388,16.11,10388,16.09,11041,26.26
18,900,11006,20.97,11006,21.02,11757,28.08
19,1000,11648,31.39,11648,30.92,12647,29.96
20,1500,14413,85.49,14413,85.36,15483,39.8
21,2000,16454,184.6,16454,173.21,18155,46.92
22,2500,18305,270.8,18305,271.28,20353,56.5
23,3000,20008,293.37,20008,293.79,22512,66.24
24,3500,21657,751.44,21657,775.75,24533,81.0
25,4000,23022,756.67,23022,750.65,26076,91.15
26,4500,24302,819.42,24302,821.12,28011,101.65
27,5000,25480,1594.2,25480,1530.18,29471,107.16
RBr,Broj lokacija,glo_ortools_distance,glo_total,d_Ortools,T_Ortools,S_ortools_distance,Sim_total,d_SOM,T_som
1,10,1137,0.01,1137,0.03,1137,0.01,1153,6.34
2,20,2023,0.02,1966,0.04,1966,0.01,2035,7.49
3,30,2328,0.02,2463,0.04,2463,0.02,2350,8.2
4,40,2639,0.03,2639,0.05,2639,0.02,2710,8.89
5,50,2943,0.05,2976,0.06,2976,0.04,3071,9.25
6,60,3147,0.07,3118,0.07,3118,0.05,3211,9.62
7,70,3232,0.12,3282,0.1,3282,0.07,3295,10.57
8,80,3515,0.13,3371,0.08,3371,0.08,3356,10.85
9,90,3442,0.17,3493,0.14,3493,0.14,3516,11.11
10,100,3647,0.21,3637,0.15,3637,0.17,3662,11.47
11,200,4957,1.03,5053,0.69,5053,0.66,5055,14.06
12,300,6515,2.24,6432,1.78,6432,1.78,6486,16.25
13,400,7403,4.59,7326,3.31,7326,3.28,7659,18.28
14,500,8453,7.35,8330,5.12,8330,5.16,8848,20.26
15,600,9164,13.27,9110,7.43,9110,7.43,9709,22.36
16,700,9809,19.28,9704,12.31,9704,12.31,10311,24.25
17,800,10248,21.85,10388,16.21,10388,16.5,11056,26.2
18,900,11039,27.41,11006,21.17,11006,21.92,11862,28.06
19,1000,11635,43.89,11648,31.49,11648,31.68,12462,29.97
20,1500,14330,128.78,14413,86.55,14413,85.04,15740,37.65
21,2000,16340,208.33,16454,173.79,16454,175.34,17902,46.98
22,2500,18118,341.14,18305,277.8,18305,288.86,20325,59.91
23,3000,19898,500.4,20008,315.7,20008,314.63,22247,70.24
24,3500,21721,695.15,21657,804.83,21657,801.12,24339,80.75
25,4000,22948,1108.97,23022,755.79,23022,750.69,26182,91.17
26,4500,24368,1426.39,24302,825.22,24302,822.24,27786,101.92
27,5000,25456,1561.52,25480,1592.46,25480,1603.61,29831,112.98
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1647,0.01,1647,0.04,1647,0.01,1521,6.42
2,20,2158,0.02,2158,0.04,2158,0.02,2281,7.48
3,30,2444,0.02,2527,0.05,2527,0.03,2458,8.2
4,40,2552,0.03,2727,0.06,2727,0.03,2602,8.82
5,50,2735,0.05,2735,0.07,2735,0.04,2791,9.2
6,60,3326,0.06,3232,0.08,3232,0.05,3166,9.64
7,70,3520,0.1,3552,0.14,3552,0.11,3463,10.05
8,80,3787,0.14,4026,0.12,4026,0.12,3821,10.36
9,90,3827,0.18,3801,0.17,3801,0.16,4027,10.54
10,100,4065,0.21,4102,0.19,4102,0.21,4310,10.92
11,200,5481,0.92,5421,0.8,5421,0.77,5543,13.4
12,300,6801,2.83,6774,1.15,6774,1.13,6998,15.54
13,400,7622,3.54,7599,2.95,7599,2.94,7963,17.42
14,500,8630,7.0,8454,6.45,8454,6.37,8918,19.3
15,600,9300,14.74,9230,7.79,9230,7.79,9778,21.27
16,700,9905,16.63,9948,15.37,9948,15.22,10478,23.15
17,800,10392,24.4,10425,18.87,10425,18.26,11269,25.06
18,900,11118,34.43,11069,21.54,11069,21.53,11943,26.69
19,1000,11783,40.07,11589,28.26,11589,28.32,12534,28.42
20,1500,14289,84.04,14279,88.62,14279,88.93,15368,37.91
21,2000,16400,202.13,16427,133.7,16427,133.1,18083,47.6
22,2500,18325,389.05,18308,238.8,18308,236.99,20402,57.08
23,3000,19990,545.84,19917,361.73,19917,359.52,22215,66.95
24,3500,21511,751.47,21387,668.62,21387,682.43,24371,76.79
25,4000,22762,897.92,22701,677.55,22701,674.25,26129,86.97
26,4500,24299,1179.21,24258,782.36,24258,776.12,27774,96.89
27,5000,25365,1483.44,25346,1031.53,25346,1036.49,29467,107.9
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1647,0.13,1647,0.23,1647,0.11,3764,10.93
2,20,2158,0.09,2158,0.09,2158,0.12,3782,10.89
3,30,2444,0.09,2527,0.09,2527,0.1,3839,10.87
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1647,0.08,1647,0.11,1647,0.07,3712,10.72
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1647,0.08,1647,0.11,1647,0.07,3737,11.0
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1647,0.07,1647,0.11,1647,0.07,3763,10.91
2,20,2158,0.09,2158,0.08,2158,0.11,3800,10.93
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
